id,outbreak_data_id,covidence_id,pathogen,outbreak_start_day,outbreak_start_month,outbreak_start_year,outbreak_end_day,outbreak_end_month,outbreak_date_year,outbreak_duration_months,asymptomatic_transmission,outbreak_country,outbreak_location,cases_confirmed,cases_mode_detection,cases_suspected,cases_asymptomatic,cases_severe,deaths,pre_outbreak,ongoing
9da04c9c3464ba932aa82d2e4a0fb5ea,00e2733a168ab3ea8f8c9fbb50e9ab1b,60,Lassa mammarenavirus,1,Jan,2018,29,Apr,2018,NA,FALSE,Nigeria,NA,420,Unspecified,NA,NA,NA,106,Endemic equilibrium,FALSE
b1ed69167fd7c17d124b8f1bf65329e1,8ced256dd0fec2c2fa8c3f1ae5917db7,61,Lassa mammarenavirus,NA,Jan,1970,NA,NA,NA,NA,FALSE,Nigeria,Jos Plateau,13,Unspecified,26,NA,NA,10,Unspecified,TRUE
39819a2a94765a2302e96fca8c7de0bd,6493a15fce9bb839f999a47e2bc40e48,152,Lassa mammarenavirus,NA,Dec,2017,NA,May,2018,NA,FALSE,Nigeria,NA,431,Molecular (PCR etc),NA,NA,NA,NA,Endemic equilibrium,FALSE
a7ab005860fa1caba3ba17bae7c7ebb6,6df0780469ebe8a022cb69943ab3151e,558,Lassa mammarenavirus,27,Apr,2010,31,Jan,2012,NA,FALSE,Sierra Leone,Kenema Government Hospital,NA,Unspecified,1002,NA,NA,NA,Unspecified,FALSE
dc58ccb401238d09a9ba6452086ea3ac,33c744165caeec50bb78b57e020f8299,560,Lassa mammarenavirus,25,Dec,1969,NA,NA,NA,2,FALSE,Nigeria,Jos,23,Unspecified,NA,NA,NA,NA,Endemic equilibrium,FALSE
dc58ccb401238d09a9ba6452086ea3ac,28f2fb63eda710078594e1861c7af821,560,Lassa mammarenavirus,NA,Mar,1972,NA,Apr,1972,1,FALSE,Liberia,Zorzor,11,Unspecified,NA,NA,NA,NA,Endemic equilibrium,FALSE
dc58ccb401238d09a9ba6452086ea3ac,645cb2ec17f3fc72ab87a11707da6a10,560,Lassa mammarenavirus,27,Apr,2010,31,Jan,2012,NA,FALSE,Sierra Leone,Kenema Government Hospital,295,Molecular (PCR etc),1002,NA,NA,NA,Endemic equilibrium,FALSE
efb15bb557943d996a14bbe398aa6b8f,e106ba2475561eba61c5ed701446a239,832,Lassa mammarenavirus,23,Sep,1972,15,Oct,1972,NA,FALSE,Sierra Leone,Panguma; Tongo,12,Molecular (PCR etc),20,NA,NA,NA,Endemic equilibrium,FALSE
5e7d20c0d0d52495025dc8a09f656096,da5b689447af705b1d6025ccb10982f9,840,Lassa mammarenavirus,NA,Jul,1980,NA,Apr,1982,NA,FALSE,Liberia,Curran Lutheran Hospital; Zorzor,14,Molecular (PCR etc),NA,NA,NA,NA,Unspecified,FALSE
2e4ff9c8065b9faadd3a386783fc93e3,922befc25f233a98daf50c4d7583db71,842,Lassa mammarenavirus,12,Jan,1969,3,May,1969,NA,FALSE,Nigeria,Lassa; Jos,NA,Unspecified,3,NA,NA,2,Unspecified,FALSE
8b9eae26603fabaa7c46c0d0880e7035,b1670571dd36918841cc1840fcee35fa,1161,Lassa mammarenavirus,NA,Jan,1970,NA,Feb,1970,NA,FALSE,Nigeria,Jos,15,Molecular (PCR etc),13,NA,NA,13,Unspecified,FALSE
bd5e179ceac6d7d3a08d2686781dd8c8,de064e4b763fcd33a2bd62c34a338191,1173,Lassa mammarenavirus,1,Dec,2015,30,Apr,2016,NA,FALSE,Nigeria,Ondo State,19,Molecular (PCR etc),NA,NA,NA,12,Endemic equilibrium,FALSE
ee9a2b7c5f5092606151f83de44d102f,fcd3ff43ea5944e68d14b44aa47f6afa,1183,Lassa mammarenavirus,1,Jan,2017,25,Mar,2017,3,FALSE,Nigeria,NA,107,Unspecified,NA,NA,NA,50,Endemic equilibrium,FALSE
ee9a2b7c5f5092606151f83de44d102f,eef5e9507eac660e2537865a666476eb,1183,Lassa mammarenavirus,1,Jan,2018,25,Mar,2018,3,FALSE,Nigeria,NA,394,Unspecified,NA,NA,NA,104,Endemic equilibrium,FALSE
